trade_id,direction,is_trend,entry_time,exit_time,entry_price,exit_price,size_btc,lots,gross_pnl,net_pnl,points_captured,exit_reason,trail_stage_at_exit,bars_held,entry_fee,entry_gst,exit_fee,exit_gst,funding_paid
984,SHORT,True,2026-03-07 04:00:00+00:00,2026-03-07 06:40:30+00:00,68088.440475,67955.16,0.1,100,13.32804749999923,7.70708773597423,133.2804749999923,Trail_SL_Stage1,1,0,3.40442202375,0.6127959642749999,1.3591032,0.244638576,0.0
985,SHORT,True,2026-03-07 14:00:00+00:00,2026-03-07 16:52:30+00:00,67924.016919,67827.2150768669,0.1,100,9.680184213310714,4.751185108465655,96.80184213310713,Trail_SL_Stage1,1,0,3.39620084595,0.611316152271,1.356544301537338,0.24417797427672083,-0.6792401691900001
986,SHORT,True,2026-03-07 18:00:00+00:00,2026-03-07 19:31:30+00:00,67781.371185,67253.03894895462,0.1,100,52.833223604537494,47.24695098542716,528.3322360453749,Trail_SL_Stage3,3,0,3.38906855925,0.610032340665,1.3450607789790927,0.2421109402162367,0.0
987,SHORT,True,2026-03-07 22:30:00+00:00,2026-03-08 01:49:30+00:00,67269.45238199999,67353.82,0.1,100,-8.436761800001841,-13.322515118719842,-84.36761800001841,Trail_SL_Stage1,1,0,3.3634726190999995,0.6054250714379998,1.3470764000000004,0.24247375200000007,-0.67269452382
988,SHORT,True,2026-03-08 02:30:00+00:00,2026-03-08 03:18:00+00:00,67216.667661,67044.76282580534,0.1,100,17.190483519465488,11.642443724777483,171.90483519465488,Trail_SL_Stage2,2,0,3.36083338305,0.604950008949,1.340895256516107,0.24136114617289925,0.0
989,SHORT,True,2026-03-08 04:30:00+00:00,2026-03-08 05:18:00+00:00,67001.829147,67111.92703768532,0.1,100,-11.009789068532701,-16.546738466295075,-110.097890685327,Trail_SL_Stage1,1,0,3.35009145735,0.603016462323,1.3422385407537065,0.24160293733566718,0.0
990,SHORT,True,2026-03-08 13:00:00+00:00,2026-03-08 13:48:00+00:00,67317.72755400001,67240.35322095585,0.1,100,7.737433304416482,2.1788150427159225,77.37433304416481,Trail_SL_Stage2,2,0,3.3658863777000008,0.6058595479860002,1.344807064419117,0.24206527159544106,0.0
991,SHORT,True,2026-03-08 21:00:00+00:00,2026-03-08 21:54:00+00:00,67231.816146,67036.91012004962,0.1,100,19.49060259503749,13.94185436359032,194.9060259503749,Trail_SL_Stage1,1,0,3.3615908073000003,0.6050863453140001,1.3407382024009926,0.24133287643217866,0.0
992,LONG,True,2026-03-09 13:00:00+00:00,2026-03-09 14:00:00+00:00,68158.995218,68975.55,0.1,100,81.65547820000066,76.00627450213865,816.5547820000065,Trail_SL_Stage3,3,0,3.4079497609000002,0.613430956962,1.3795110000000002,0.24831198000000002,0.0
993,LONG,True,2026-03-09 19:00:00+00:00,2026-03-09 19:49:30+00:00,68363.455662,68779.75,0.1,100,41.6294338000007,35.972787815942695,416.294338000007,Trail_SL_Stage2,2,0,3.4181727830999997,0.615271100958,1.3755950000000001,0.24760710000000002,0.0
994,LONG,True,2026-03-10 01:30:00+00:00,2026-03-10 03:18:00+00:00,68982.827593,70081.73993211222,0.1,100,109.89123391122267,104.16731802083783,1098.9123391122266,Trail_SL_Stage3,3,0,3.4491413796500003,0.6208454483370001,1.4016347986422446,0.25229426375560404,0.0
995,LONG,True,2026-03-10 07:00:00+00:00,2026-03-10 08:48:00+00:00,69918.15111600001,70688.28551171122,0.1,100,77.01343957112113,70.52084360604074,770.1343957112113,Trail_SL_Stage3,3,0,3.4959075558000006,0.6292633600440001,1.4137657102342245,0.2544778278421604,0.6991815111600002
996,LONG,True,2026-03-10 09:00:00+00:00,2026-03-10 09:51:00+00:00,70716.690962,70926.5,0.1,100,20.98090380000067,15.134753633242672,209.8090380000067,Trail_SL_Stage1,1,0,3.5358345480999995,0.6364502186579999,1.41853,0.2553354,0.0
997,LONG,True,2026-03-10 14:30:00+00:00,2026-03-10 15:21:00+00:00,69806.529955,70975.31,0.1,100,116.87800449999924,111.08440191665423,1168.7800449999922,Trail_SL_Stage3,3,0,3.4903264977500004,0.628258769595,1.4195062,0.255511116,0.0
998,LONG,True,2026-03-12 15:00:00+00:00,2026-03-12 15:40:30+00:00,69597.299034,70142.13,0.1,100,54.48309660000086,48.72150168899486,544.8309660000086,Trail_SL_Stage2,2,0,3.4798649516999998,0.6263756913059999,1.4028426000000003,0.252511668,0.0
999,LONG,True,2026-03-13 05:30:00+00:00,2026-03-13 06:25:30+00:00,71421.18140399999,71212.74267643222,0.1,100,-20.843872756777273,-26.738343186777072,-208.43872756777273,SL,0,0,3.5710590701999996,0.6427906326359999,1.4242548535286443,0.25636587363515595,0.0
1000,LONG,True,2026-03-13 07:30:00+00:00,2026-03-13 08:58:30+00:00,71521.35141999999,71820.77,0.1,100,29.941858000001233,23.31191458002123,299.4185800000123,Trail_SL_Stage2,2,0,3.576067571,0.64369216278,1.4364154000000002,0.25855477200000004,0.7152135141999999
1001,LONG,True,2026-03-13 10:00:00+00:00,2026-03-13 11:01:30+00:00,72014.010681,72468.09685256853,0.1,100,45.40861715685315,39.44954344095353,454.0861715685314,Trail_SL_Stage2,2,0,3.60070053405,0.648126096129,1.4493619370513706,0.2608851486692467,0.0
1002,LONG,True,2026-03-13 12:30:00+00:00,2026-03-13 13:39:00+00:00,72419.64124,72750.02,0.1,100,33.037876000000686,27.048216694840686,330.3787600000069,Trail_SL_Stage2,2,0,3.620982062,0.65177677116,1.4550004,0.261900072,0.0
